document_id	question	answer	difficulty
/pokemon_characters/pikachu_pokemon.txt	In which year did Pikachu first appear in the Japanese video games Pokemon Red and Green?	1996	E
/pokemon_characters/pikachu_pokemon.txt	Pikachu has appeared in all Pokemon video games, except which one?	Black and White	E
/chinese_dynasties/Sui_dynasty.txt	In which year did the Xianbei-ruled Northern Zhou conquered the Northern Qi  and reunified northern China?	577	E
/chinese_dynasties/Sui_dynasty.txt	In which year did the Sui amass 518,000 troops along the northern bank of the Yangtze River?	588	E
/indian_states/Kerala.txt	According to legend, who received a cargo from Ophir every three years? 	the King Solomon	E
/indian_states/Kerala.txt	Since when has Kerala been a major spice exporter? 	3000 BCE 	E
/pokemon_characters/jigglypuff_pokemon.txt	Which character in Pokemon are characterized by putting their enemies to sleep by singing a lullaby? 	Jigglypuff	E
/pokemon_characters/jigglypuff_pokemon.txt	Who portrayed Jigglypuff in the live-action musical Pokemon Live!?	Leah Smith	E
/languages/Spanish_language.txt	It is estimated that how many people speak spanish as a native language? 	463 million	E
/languages/Spanish_language.txt	What is the kingdom where Spanish was originally spoken?	Castile	E
/indian_states/Rajasthan.txt	What is the official lanuage of the Rajasthan?	Hindi	E
/indian_states/Rajasthan.txt	When was Rajasthan formed?	30 March 1949	E
/languages/Indonesian_language.txt	Indonesian is a standardized variety of Malay	Yes	E
/languages/Indonesian_language.txt	In which year did Indonesia declare its indepedndence?	1945	E
/indian_states/Gujarat.txt	Gujarat was also known as Pratichya and Varuna. 	Yes	E
/indian_states/Gujarat.txt	What dynasty is Gujarat derived from?	the Gurjara-Pratihara	E
/indian_states/Maharashtra.txt	Who is the greatest ruler of the Satavahana dynasty?	Gautamiputra Satakarni	E
/indian_states/Maharashtra.txt	Which city is India's fiancial and commercial capital?	Mumbai 	E
/chinese_dynasties/Han_dynasty.txt	What is Sinitic language is known as?	"""Han language"""	E
/chinese_dynasties/Han_dynasty.txt	What is the vast trade network known as 	Silk Road	E
/pokemon_characters/charizard_pokemon.txt	Who designed the Charizard for the first generation of Pocket Monsters games Red and Green?	Atsuko Nishida	E
/pokemon_characters/charizard_pokemon.txt	What is Charizard originally called in Japanese?	Lizardon	E
/constellations/taurus_constellation.txt	Is Taurus in the Northern Hemisphere's winter sky?	Yes	E
/constellations/taurus_constellation.txt	In tropical astrology, the Sun is considered to be in the sign Taurus from which day?	April 20	E
/languages/French_language.txt	French is the third most widely spoken language in the EU	Yes	E
/languages/French_language.txt	Where do the majority of the world's French-speaking population live?	Africa	E
/indian_states/Punjab.txt	When did Islam emerge as the major power in southern Punjab after the Umayyad caliphate conquered the region?	711 AD	E
/indian_states/Punjab.txt	What is the major language in Punjab?	Ppunjabi	E
/chinese_dynasties/Jin_dynasty_(266–420).txt	Which religion was polarized in the Jin dynasty?	Taoism	E
/chinese_dynasties/Jin_dynasty_(266–420).txt	What was one of Sima Rui's titles?	the prince of Langya	E
/pokemon_characters/pikachu_pokemon.txt	Who designed Pikachu?	Atsuko Nishida and Ken Sugimori	M
/pokemon_characters/pikachu_pokemon.txt	Is Pikachu the only avaiable Starter Pok√©mon featured in the game Pok√©mon Yellow	Yes	M
/chinese_dynasties/Sui_dynasty.txt	Which Emperor founded the Sui dynasty? 	Emperor Wen of Sui	M
