,document_id,question,answer,difficulty
1047,/indian_states/Gujarat.txt,What religion is the most popular in Gujarat according to the 2011 census?,Hindu,M
4105,/indian_states/Maharashtra.txt,What portion of the population of Maharashtra works in agriculture?,Nearly half,H
1710,/constellations/leo_constellation.txt,Leo remains one of how many modern constellations?,88,E
2265,/languages/German_language.txt,Are there people that speak German in all the inhabited continents? ,Yes ,M
5853,/constellations/gemini_constellation.txt,What is the Babylonian name for the stars Castor and Pollux?,The Great Twins,M
639,/pokemon_characters/charizard_pokemon.txt,What happens after the battle is complete when Charizard evolves into two mega evolved forms?,It reverts to the normal Charizard form,H
2662,/indian_states/Kerala.txt,"What animals are an integral part of Keralan culture and are referred to as the ""sons of the sahya"" in Malayam literature?",elephants,H
4756,/chinese_dynasties/Liang_dynasty.txt,Which dynasty preceded the Liang dynasty?,Southern Qi,M
5863,/constellations/taurus_constellation.txt,Was the Crab Nebula created by a Type II supernova?,Yes,M
5224,/pokemon_characters/mewtwo_pokemon.txt,Who was the first to voice the original Mewtwo character in Japanese?,Masachika Ichimura,E
4269,/chinese_dynasties/Northern_Wei.txt,Did the Tuoba chief have the title of the Prince of Dai before 315?,No,M
7005,/languages/English_language.txt,How does Chinese mostly write words borrowed from English?,Calques,E
1541,/indian_states/Maharashtra.txt,Is Urdu spoken in any schools in Maharashtra?,Yes.,M
5598,/languages/Urdu_language.txt,Urdu and Hindi have some similarities and do they have high mutual intelligibility?,No,H
2323,/pokemon_characters/jigglypuff_pokemon.txt,Who portrayed Jigglypuff in the live-action musical Pokémon Live!?,Leah Smith,E
6536,/indian_states/Punjab.txt,Which empire ruled the Punjabi region directly before the British?,Sikh ,M
4972,/indian_states/Uttar_Pradesh.txt,How many seats does the state that sends the largest number of legislators to the national Parliament contribute to Rajya Sabha?,31,H
839,/constellations/libra_constellation.txt,What does Libra mean in latin?,Weighing scales,H
2508,/chinese_dynasties/Northern_Wei.txt,Was Wang Yu an ethnic Qiang eunuch?,Yes,E
3751,/chinese_dynasties/Han_dynasty.txt,When did the coinage issued in Han dynasty end?,Tang dynasty,E
5880,/pokemon_characters/pikachu_pokemon.txt,What is special about the Pikachu in Pokemon Yellow?,"It refuses to stay in its Poke Ball, and instead follows the main character around on the screen",H
5499,/pokemon_characters/magikarp_pokemon.txt,What color is Magikarp?,red,H
1455,/indian_states/Rajasthan.txt,is Rajasthan located in the south of India?,no,M
5292,/languages/Hindi_language.txt,Which was the first state of India to adopt Hindi as its sole official language?,Bihar,E
3255,/constellations/scorpius_constellation.txt,How many constellations did Ptolemy name?,48,M
5207,/indian_states/Meghalaya.txt,Which state has the wettest region in India?,Meghalaya,M
4037,/indian_states/Rajasthan.txt,Is Punjab both a state in India and a province in Pakistan?,Yes,H
2637,/chinese_dynasties/Xia_dynasty.txt,Are there any records of the Xia dynasty?,no,M
5420,/constellations/aquarius_constellation.txt,Which constellation is associated with 1960s counterculture?,Aquarius,H
70,/pokemon_characters/pikachu_pokemon.txt,What are some of Pokemon's advantages compared to other characters?,"It is the only starter Pokemon, can learn new attacks naturally, and deal massage damage",H
2269,/languages/German_language.txt,"Is ""th"" a dental fricative? ",Yes ,M
666,/indian_states/Madhya_Pradesh.txt,Is Madhya Pradesh the largest state in India by population?,No,M
3421,/chinese_dynasties/Liang_dynasty.txt,Is Liang Dynasty alson known as Northern Liang?,No,E
5300,/chinese_dynasties/Sui_dynasty.txt,Who founded the Sui dynasty?,Wen of Sui,E
6326,/languages/Portuguese_language.txt,What language family is Portuguese part of?,Indo-European,M
