question,answer
What religion is the most popular in Gujarat according to the 2011 census?,Hindu
What portion of the population of Maharashtra works in agriculture?,Nearly half
Leo remains one of how many modern constellations?,88
Are there people that speak German in all the inhabited continents? ,Yes 
What is the Babylonian name for the stars Castor and Pollux?,The Great Twins
What happens after the battle is complete when Charizard evolves into two mega evolved forms?,It reverts to the normal Charizard form
"What animals are an integral part of Keralan culture and are referred to as the ""sons of the sahya"" in Malayam literature?",elephants
Which dynasty preceded the Liang dynasty?,Southern Qi
Was the Crab Nebula created by a Type II supernova?,Yes
Who was the first to voice the original Mewtwo character in Japanese?,Masachika Ichimura
Did the Tuoba chief have the title of the Prince of Dai before 315?,No
How does Chinese mostly write words borrowed from English?,Calques
Is Urdu spoken in any schools in Maharashtra?,Yes.
Urdu and Hindi have some similarities and do they have high mutual intelligibility?,No
Who portrayed Jigglypuff in the live-action musical Pokémon Live!?,Leah Smith
Which empire ruled the Punjabi region directly before the British?,Sikh 
How many seats does the state that sends the largest number of legislators to the national Parliament contribute to Rajya Sabha?,31
What does Libra mean in latin?,Weighing scales
Was Wang Yu an ethnic Qiang eunuch?,Yes
When did the coinage issued in Han dynasty end?,Tang dynasty
What is special about the Pikachu in Pokemon Yellow?,"It refuses to stay in its Poke Ball, and instead follows the main character around on the screen"
What color is Magikarp?,red
is Rajasthan located in the south of India?,no
Which was the first state of India to adopt Hindi as its sole official language?,Bihar
How many constellations did Ptolemy name?,48
Which state has the wettest region in India?,Meghalaya
Is Punjab both a state in India and a province in Pakistan?,Yes
Are there any records of the Xia dynasty?,no
Which constellation is associated with 1960s counterculture?,Aquarius
What are some of Pokemon's advantages compared to other characters?,"It is the only starter Pokemon, can learn new attacks naturally, and deal massage damage"
"Is ""th"" a dental fricative? ",Yes 
Is Madhya Pradesh the largest state in India by population?,No
Is Liang Dynasty alson known as Northern Liang?,No
Who founded the Sui dynasty?,Wen of Sui
What language family is Portuguese part of?,Indo-European
What's the other name of the Shang dynasty?,Yin dynasty
Who started language policy?,Chinese Communist Party
Who ordered the killing of Xio Dong?,Xiao Yi
What are some earlier names of the language Urdu?,"Hindvi, Hindi and Hindustani"
What classic text by Sima Qian described the Xia dynasty?,the Records of the Grand Historian
How many stars is the sickle marked by?,Six
Is Uttar Pradesh divided into 3 districts?,No.
In which region have the traditional regional dialects been replaced by new vernaculars based on Standard High German?,Northern Germany
Do the stars Castor and Pollux appear far apart?,No
Is Virgo the largest zodiac constellation in the sky?,Yes
How far from Earth is the star that the planet HD 212771 b orbits?,131 parsecs
Who first introduced the name Urdu?,The poet Ghulam Hamadani Mushafi
Is Spanish a procedural language of the EU?,No
Who defeated the Shang?,Zhou
What type of animals is venusaur's design based on?,Frog
How many grammatical genders does German have? ,three
What was Aries originally defined in ancient texts as?,A specific pattern of stars
Did Medical physicians have high status in the Han dynasty?,Yes
Was catholic a factors in the growing Chinese influence in the Northern Wei state?,No
Is Panjab known as place where growing crops is difficult?,No
Is London a major city in Gujarat ?,no
What is Latin for ram?,Aries
Can Virgo be seen at the equator?,Yes.
How many Han mathematical treatises still exist? ,Three
Is Jharkhand a neighbouring state of Bengal?,Yes
Did Shang have ritual and political complex?,Yes
Who ruled Gujarat in the 8th and 9th centuries CE?,the Gurjara-Pratihara dynasty.
What interrupted the Han dynasty briefly?,Xin dynasty
Is over half of Gujarat's geographical area used for agriculture?,Yes
Does M84 have most likely have a black hole orbiting the core?,Yes.
Is Charizard known as the Flame Pokémon?,Yes
What type is Bulbasaur?,Grass/Poison
Were Gun's attempt to stop flooding successful?,No
Is the official language used the most widely in Kerala?,Yes.
Who founded the Jin Dynasty?,Sima Yan
What does the Chinese character Sui mean?,To follow
What is the third most populous city in Tamil Nadu?,Madurai
Which religion is associated with Urdu in India?,Islam 
Is Classical Arabic considered Standard Arabic?,Yes
Who are the counterparts of Aphrodite and Eros in the Roman variant of the story?,Venus and Cupid
Was the basic grammar of Hindi published after India's independence?,Yes
What state was formed on 1 November 1956 on the Malabar Coast of India?,Kerala
Was Buddhist art destroyed in the mid-6th century CE?,No
"Is Siliguri located in the ""Chicken's Neck"" of India?",Yes
When did the Dutch East India Company first arrived in the archipelago?,at the start of the 1600s
Did Kou Qianzhi oppose Buddhism?,Yes.
Who is very well known for singing a lullaby in the Pokémon anime series?,Jigglypuff
"As of 2011, what percentage of West Bengal's religious population are not Muslim?",72.99
Did slaves belong to one of twenty ranks?,No
Which two words were combined to compose Squirtle's name?,squirt and turtle
Did King Afonso I of Portugal create the first Portuguese university in Lisbon?,No
What is the diameter of the Trifid Nebula?,approximately 50 light-years
How far away is NGC 520?,90 million light years
Is Aries highly visible from the earth?,No
